address,chain,name,entity,category,tags
0x07a6f98c03379b9513ca84cca1373ff452a7462a3b61598f0af5bb27ad7f76d1,starknet,10kswap,10kswap,dex,"defi,swap"
0x000023c72abdf49dffc85ae3ede714f2168ad384cc67d08524732acea90df325,starknet,10kswap,10kswap,dex,"defi,swap"
0x017e9e62c04b50800d7c59454754fe31a2193c9c3c6c92c093f2ab0faadf8c87,starknet,10kswap,10kswap,dex,"defi,swap"
0x01c0a36e26a8f822e0d81f20a5a562b16a8f8a3dfd99801367dd2aea8f1a87a2,starknet,10kswap,10kswap,dex,"defi,swap"
0x041a708cf109737a50baa6cbeb9adf0bf8d97112dc6cc80c7a458cbad35328b0,starknet,10kswap,10kswap,dex,"defi,swap"
0x0127021a1b5a52d3174c2ab077c2b043c80369250d29428cee956d76ee51584f,starknet,AVNU,AVNU,dex,"defi,swap"
0x04270219d365d6b017231b52e92b3fb5d7c8378b05e9abc97724537a80e93b0f,starknet,AVNU,AVNU,dex,"defi,swap"
0x07d83b8842d2074a31926a59e942e4f39f879cac52e0f7c28b77240301a8bb6d,starknet,Brove,Brove,wallet,wallet
0x043e447f2008d7c24267524b9858f793851381d90a8780c1b31d62500ae26009,starknet,Brove,Brove,wallet,wallet
0x0516b89aeb41f328ab8bc20f8379fdaaa1b93916dfe39306e7a479d1d62f751c,starknet,Brove,Brove,wallet,wallet
0x047472e6755afc57ada9550b6a3ac93129cc4b5f98f51c73e0644d129fd208d9,starknet,Carmine Options,Carmine Options,derivatives,"defi,options"
0x051fea4450da9d6aee758bdeba88b2f665bcbf549d2c61421aa724e9ac0ced8f,starknet,Cartridge,Cartridge,gaming,gaming
0x021bcb191263cd28357465f9388570465f330724fe2a9a085fb372c7356226dc,starknet,Dmail Network,Dmail Network,social,social
0x02d1d7fae120273704aba170cb9b5f1d4cb03ba6c7bbf248e04daefe7c425a8d,starknet,Earn,Earn,yield,"defi,yield"
0x03704c751314e87f871e63bfbaf2e43db895fc51b7d4c967cd3082e21a1d629f,starknet,Ejara,Ejara,wallet,wallet
0x0618144e41e8b67ee316e696907e4bda28569f300372e41854fd2982d1d528fd,starknet,Ejara,Ejara,wallet,wallet
0x00000005dd3d2f4429af886cd1a3b08289dbcea99a294197e9eb43b0e0325b4b,starknet,Ekubo,Ekubo,dex,"defi,swap"
0x0199741822c2dc722f6f605204f35e56dbc23bceed54818168c4c49e4fb8737e,starknet,Ekubo,Ekubo,dex,"defi,swap"
0x043e4f09c32d13d43a880e85f69f7de93ceda62d6cf2581a582c6db635548fdc,starknet,Ekubo,Ekubo,dex,"defi,swap"
0x005e470ff654d834983a46b8f29dfa99963d5044b993cb7b9c92243a69dab38f,starknet,Ekubo,Ekubo,dex,"defi,swap"
0x02e0af29598b407c8716b17f6d2795eca1b471413fa03fb145a5e33722184067,starknet,Ekubo,Ekubo,dex,"defi,swap"
0x075afe6402ad5a5c20dd25e10ec3b3986acaa647b77e4ae24b0cbc9a54a27a87,starknet,Ekubo,Ekubo,dex,"defi,swap"
