Date,Class Hash,Smart Contract,DApp / Entity,Fee ($),SN L2 Gas,User Operations,"Active Users ",Calls (Depth 1),"Calls (Any Depth) ",Transactions
"Mar 23, 2026",0x06687c0fc694b797e8a33c286ecc5a0da59faa2703b36c209a4301a4ed74ea53,0x062da0780fae50d68cecaa5a051606dc21217ba290969b302db4dd99d2e9b470,Extended,3001.323791240839,3285272525471.8745,101641,3651,141703,154888,15585
"Mar 23, 2026",0x00622e1d5971e4f99f8b3d6c9ed39738deebb61deea94acff22f70ebcc3537ef,0x06f7c4350d6d5ee926b3ac4fa0c9c351055456e75c92227468d84232fc493a9c,Loot Survivor,611.0740088852389,668209753443.6163,33375,60,0,37219,23075
"Mar 23, 2026",0x04ad3c1dc8413453db314497945b6903e1c766495a1e60492d44da9c2a986e4b,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,STRK Token,244.92997558012823,263366490110.94476,197484,1505,3888,263360,197484
"Mar 23, 2026",0x0577604a2611c851e9cfc4da2ba7f7fc1d44a9327cc734d68b2b271340a6551c,0x00000005dd3d2f4429af886cd1a3b08289dbcea99a294197e9eb43b0e0325b4b,Ekubo,197.4309442648812,126842536751.75836,16195,723,0,99071,16195
"Mar 23, 2026",0x055574645f135e0471a71bc1b33d72cea5d5c5072fac01b9822193681603722e,0x0127021a1b5a52d3174c2ab077c2b043c80369250d29428cee956d76ee51584f,AVNU,167.18054751947366,183146660248.64243,73589,48870,73589,73589,73589
"Mar 23, 2026",0x0429606f5203e9e5f43cfc2fb28023fafed24da6468ff7cf7b0d40b84c3db0bb,0x036017e69d21d6d8c13e266eabb73ef1f1d02722d86bdcabe5f168f8e549d3cd,Loot Survivor,141.5348844965666,154779515750.38217,23602,63,0,149334,23602
"Mar 23, 2026",0x0340e435e91cfd5d1a5431783c7a1a995e92f435b717fe9012c1adf81c11cf77,0x01aa95ea66e7e01acf7dc3fda8be0d8661230c4c36b0169e2bab8ab4d6700dfc,Loot Survivor,135.0700611660249,148348135713.86295,11177,67,5,11178,11175
"Mar 23, 2026",0x04d6370214accdaac8cc249db34a916c92464235b87cf03641a85889d2f6d8e7,0x02a85bd616f912537c50a49a4076db02c00b29b2cdc8a197ce92ed1837fa875b,Pragma,60.173379805333674,63476389313.35888,1132,188,647,31221,1132
"Mar 23, 2026",0x01098b83039193053357e04788e0849cb28a0d2af2d67de9e52123ef4d267eb4,0x046da8955829adf2bda310099a0063451923f02e648cf25a1203aac6335cf0e4,Loot Survivor,40.97876525627837,44935777160.611786,12093,88,0,172076,12093
"Mar 23, 2026",0x047f56c4572d11b6847e61de41cb268c3667b0d1b55e14aa183c8d802e5a72ac,0x0377c2d65debb3978ea81904e7d59740da1f07412e30d01c5ded1c5d6f1ddc43,Focus Tree,33.69936581667631,37011267935.27942,69902,46275,0,70037,69540
